symbol,name,marketCap,exchange,sector,industry,yahooFinanceSymbol
RELIANCE,Reliance Industries Limited,178237576,NSE,Energy,Oil & Gas Refining & Marketing,RELIANCE.NS
TCS,Tata Consultancy Services Limited,138342672,NSE,Technology,Information Technology Services,TCS.NS
HDFCBANK,HDFC Bank Limited,81525796,NSE,Financial Services,Banks—Regional,HDFCBANK.NS
INFY,Infosys Limited,80216196,NSE,Technology,Information Technology Services,INFY.NS
ICICIBANK,ICICI Bank Limited,50744643,NSE,Financial Services,Banks—Regional,ICICIBANK.NS
HINDUNILVR,Hindustan Unilever Limited,48134901,NSE,Consumer Defensive,Household & Personal Products,HINDUNILVR.NS
SBIN,State Bank of India,44047420,NSE,Financial Services,Banks—Regional,SBIN.NS
BAJFINANCE,Bajaj Finance Limited,43953860,NSE,Financial Services,Credit Services,BAJFINANCE.NS
HDFC,Housing Development Finance Corporation Limited,43247739,NSE,Financial Services,Mortgage Finance,HDFC.NS
BHARTIARTL,Bharti Airtel Limited,41462060,NSE,Communication Services,Telecom Services,BHARTIARTL.NS
KOTAKBANK,Kotak Mahindra Bank Limited,34802939,NSE,Financial Services,Banks—Regional,KOTAKBANK.NS
WIPRO,Wipro Limited,32448373,NSE,Technology,Information Technology Services,WIPRO.NS
HCLTECH,HCL Technologies Limited,31580278,NSE,Technology,Information Technology Services,HCLTECH.NS
ITC,ITC Limited,30888241,NSE,Consumer Defensive,Tobacco,ITC.NS
ADANIGREEN,Adani Green Energy Limited,29946181,NSE,Utilities,Utilities—Renewable,ADANIGREEN.NS
ASIANPAINT,Asian Paints Limited,29542812,NSE,Basic Materials,Specialty Chemicals,ASIANPAINT.NS
BAJAJFINSV,Bajaj Finserv Limited,27149564,NSE,Financial Services,Financial Conglomerates,BAJAJFINSV.NS
ADANITRANS,Adani Transmission Limited,26045152,NSE,Utilities,Utilities—Independent Power Producers,ADANITRANS.NS
DMART,Avenue Supermarts Limited,25932688,NSE,Consumer Defensive,Discount Stores,DMART.NS
LT,Larsen & Toubro Limited,24834879,NSE,Industrials,Engineering & Construction,LT.NS
ATGL,Adani Total Gas Limited,23643717,NSE,Utilities,Utilities—Regulated Gas,ATGL.NS
AXISBANK,Axis Bank Limited,23364339,NSE,Financial Services,Banks—Regional,AXISBANK.NS
MARUTI,Maruti Suzuki India Limited,22841180,NSE,Consumer Cyclical,Auto Manufacturers,MARUTI.NS
TITAN,Titan Company Limited,22515589,NSE,Consumer Cyclical,Luxury Goods,TITAN.NS
ADANIENT,Adani Enterprises Limited,22158424,NSE,Energy,Thermal Coal,ADANIENT.NS
SUNPHARMA,Sun Pharmaceutical Industries Limited,21947917,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,SUNPHARMA.NS
ONGC,Oil & Natural Gas Corporation Limited,20619078,NSE,Energy,Oil & Gas Integrated,ONGC.NS
ULTRACEMCO,UltraTech Cement Limited,19058645,NSE,Basic Materials,Building Materials,ULTRACEMCO.NS
JSWSTEEL,JSW Steel Limited,17709766,NSE,Basic Materials,Steel,JSWSTEEL.NS
ADANIPORTS,Adani Ports and Special Economic Zone Limited,16353994,NSE,Industrials,Marine Shipping,ADANIPORTS.NS
TATASTEEL,Tata Steel Limited,15975539,NSE,Basic Materials,Steel,TATASTEEL.NS
POWERGRID,Power Grid Corporation of India Limited,15122782,NSE,Utilities,Utilities—Regulated Electric,POWERGRID.NS
VEDL,Vedanta Limited,14993322,NSE,Basic Materials,Other Industrial Metals & Mining,VEDL.NS
TECHM,Tech Mahindra Limited,14565340,NSE,Technology,Information Technology Services,TECHM.NS
TATAMOTORS,Tata Motors Limited,14403371,NSE,Consumer Cyclical,Auto Manufacturers,TATAMOTORS.NS
HINDZINC,Hindustan Zinc Limited,13104827,NSE,Basic Materials,Other Industrial Metals & Mining,HINDZINC.NS
NTPC,NTPC Limited,13090499,NSE,Utilities,Utilities—Independent Power Producers,NTPC.NS
HINDALCO,Hindalco Industries Limited,12797649,NSE,Basic Materials,Aluminum,HINDALCO.NS
PIDILITIND,Pidilite Industries Limited,12474923,NSE,Basic Materials,Specialty Chemicals,PIDILITIND.NS
DIVISLAB,Divi's Laboratories Limited,11686060,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,DIVISLAB.NS
HDFCLIFE,HDFC Life Insurance Company Limited,11369597,NSE,Financial Services,Insurance—Life,HDFCLIFE.NS
COALINDIA,Coal India Limited,11280874,NSE,Energy,Thermal Coal,COALINDIA.NS
SBILIFE,SBI Life Insurance Company Limited,11218656,NSE,Financial Services,Insurance—Life,SBILIFE.NS
IOC,Indian Oil Corporation Limited,11198142,NSE,Energy,Oil & Gas Refining & Marketing,IOC.NS
GRASIM,Grasim Industries Limited,10954036,NSE,Basic Materials,Building Materials,GRASIM.NS
LTI,Larsen & Toubro Infotech Limited,10788579,NSE,Technology,Information Technology Services,LTI.NS
BAJAJ-AUTO,Bajaj Auto Limited,10570577,NSE,Consumer Cyclical,Auto Manufacturers,BAJAJ-AUTO.NS
M&M,Mahindra & Mahindra Limited,10026969,NSE,Consumer Cyclical,Auto Manufacturers,M&M.NS
DABUR,Dabur India Limited,9479246,NSE,Consumer Defensive,Household & Personal Products,DABUR.NS
DLF,DLF Limited,9417336,NSE,Real Estate,Real Estate—Development,DLF.NS
SHREECEM,SHREE CEMENT LIMITED,8671142,NSE,Basic Materials,Building Materials,SHREECEM.NS
SIEMENS,Siemens Limited,8433640,NSE,Industrials,Specialty Industrial Machinery,SIEMENS.NS
CIPLA,Cipla Limited,8213770,NSE,Healthcare,Drug Manufacturers—General,CIPLA.NS
SBICARD,SBI Cards and Payment Services Limited,8032764,NSE,Financial Services,Credit Services,SBICARD.NS
NYKAA,FSN E-Commerce Ventures Limited,8010239,NSE,Consumer Cyclical,Internet Retail,NYKAA.NS
SRF,SRF Limited,7942157,NSE,Basic Materials,Specialty Chemicals,SRF.NS
BPCL,Bharat Petroleum Corporation Limited,7795210,NSE,Energy,Oil & Gas Refining & Marketing,BPCL.NS
INDIGO,InterGlobe Aviation Limited,7759608,NSE,Industrials,Airlines,INDIGO.NS
BRITANNIA,Britannia Industries Limited,7723201,NSE,Consumer Defensive,Packaged Foods,BRITANNIA.NS
GODREJCP,Godrej Consumer Products Limited,7641748,NSE,Consumer Defensive,Household & Personal Products,GODREJCP.NS
TATAPOWER,Tata Power Company Limited,7625678,NSE,Utilities,Utilities—Independent Power Producers,TATAPOWER.NS
INDUSINDBK,IndusInd Bank Limited,7246095,NSE,Financial Services,Banks—Regional,INDUSINDBK.NS
HAVELLS,Havells India Limited,7218456,NSE,Industrials,Electrical Equipment & Parts,HAVELLS.NS
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,7199466,NSE,Financial Services,Insurance—Life,ICICIPRULI.NS
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7164143,NSE,Consumer Defensive,Packaged Foods,TATACONSUM.NS
DRREDDY,Dr. Reddy's Laboratories Limited,7148739,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,DRREDDY.NS
ADANIPOWER,Adani Power Limited,7139194,NSE,Utilities,Utilities—Independent Power Producers,ADANIPOWER.NS
MINDTREE,MindTree Limited,7092632,NSE,Technology,Information Technology Services,MINDTREE.NS
GAIL,GAIL (India) Limited,6911460,NSE,Utilities,Utilities—Regulated Gas,GAIL.NS
BERGEPAINT,Berger Paints (I) Limited,6796350,NSE,Basic Materials,Specialty Chemicals,BERGEPAINT.NS
EICHERMOT,Eicher Motors Limited,6718416,NSE,Consumer Cyclical,Auto Manufacturers,EICHERMOT.NS
AWL,Adani Wilmar Limited,6718039,NSE,Consumer Defensive,Farm Products,AWL.NS
ICICIGI,ICICI Lombard General Insurance Company Limited,6520511,NSE,Financial Services,Insurance—Diversified,ICICIGI.NS
MARICO,Marico Limited,6511578,NSE,Consumer Defensive,Household & Personal Products,MARICO.NS
APOLLOHOSP,Apollo Hospitals Enterprise Limited,6493459,NSE,Healthcare,Medical Care Facilities,APOLLOHOSP.NS
ZOMATO,Zomato Limited,6478601,NSE,Consumer Cyclical,Internet Retail,ZOMATO.NS
